country,2017,2018,2019,2020,2021
Afghanistan,0,3,7,9,2
Albania,0,1,0,2,2
Algeria,0,0,0,0,0
Angola,0,0,0,0,0
Argentina,0,0,0,1,0
Armenia,0,0,0,0,0
Australia,0,4,48,31,29
Austria,0,1,0,1,0
Azerbaijan,8,21,65,30,0
Bahamas,0,0,0,0,0
Bahrain,0,0,0,0,0
Bangladesh,0,0,0,5,0
Barbados,1,1,0,0,0
Belarus,0,0,0,0,0
Belgium,1,40,49,81,79
Belize,0,0,0,0,0
Bermuda,8,6,10,2,0
Bhutan,0,0,0,0,0
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0
Botswana,0,0,0,0,0
Brazil,0,0,0,0,1
British Virgin Islands,0,0,0,1,2
Brunei,0,0,0,0,1
Bulgaria,0,1,2,1,3
Cambodia,0,12,10,0,1
Canada,0,10,69,90,79
Chile,0,0,0,0,0
China,0,14,45,38,34
Colombia,0,0,0,0,0
Comoros,0,0,0,0,0
Congo,0,0,1,1,0
Costa Rica,0,0,0,0,0
Croatia,0,0,0,0,0
Cuba,0,0,0,0,0
Cyprus,0,0,0,0,0
Czech Republic,0,0,0,0,0
Denmark,0,0,0,0,0
Dominican Republic,0,0,0,1,1
Egypt,0,1,2,0,1
Equatorial Guinea,0,0,0,0,0
Estonia,0,0,0,0,0
Ethiopia,0,0,0,0,1
Fiji,0,6,25,14,15
Finland,0,0,0,2,1
France,0,10,112,140,163
Gabon,0,0,0,0,0
Georgia,3,1,3,0,1
Germany,0,0,0,0,0
Ghana,0,0,4,0,1
Greece,0,0,0,0,0
Grenada,0,0,0,0,0
Guinea,0,0,0,0,0
Hong Kong,0,0,2,111,18
India,4,25,71,234,149
Iran,0,14,23,14,1
Iraq,1,3,17,12,0
Ireland,0,7,7,23,7
Israel,0,1,11,6,1
Italy,0,0,0,0,2
Japan,0,3,11,0,0
Jordan,0,0,0,1,0
Kazakhstan,0,0,0,0,0
Kenya,0,0,0,0,0
Kuwait,0,0,0,0,0
Kyrgyzstan,0,0,1,1,0
Laos,0,0,0,0,0
Latvia,0,0,0,0,0
Lebanon,0,0,0,0,0
Liberia,0,0,0,0,0
Libya,0,0,1,0,0
Luxembourg,0,0,0,1,2
Macao,0,15,55,30,17
Malawi,0,0,0,0,0
Malaysia,0,5,23,21,2
Malta,0,0,3,1,2
Mexico,0,0,0,0,0
Moldova,0,0,0,0,0
Monaco,0,0,0,0,0
Morocco,0,1,12,8,2
Mozambique,0,0,0,0,0
Myanmar,0,5,6,3,0
Nepal,0,0,0,0,0
Netherlands,0,0,2,0,5
New Zealand,0,1,4,0,0
Nigeria,0,3,4,1,6
North Korea,0,2,2,0,0
Pakistan,0,0,16,16,13
Panama,0,0,0,0,0
Papua New Guinea,0,0,0,1,0
Paraguay,0,0,0,0,0
Peru,0,0,0,0,0
Philippines,0,0,0,0,0
Poland,0,0,0,0,0
Qatar,0,0,0,1,0
Russia,0,0,0,5,1
Rwanda,0,0,1,2,0
Saudi Arabia,0,0,0,0,0
Senegal,0,0,0,0,0
Serbia,0,0,0,0,0
Singapore,0,12,54,42,18
Slovakia,0,0,0,0,0
Somalia,0,0,0,1,0
South Africa,0,6,10,2,0
South Korea,0,12,17,34,21
South Sudan,0,0,0,0,0
Spain,0,0,0,0,0
Sri Lanka,0,0,1,1,0
Sudan,0,0,0,0,0
Suriname,0,0,0,0,0
Swaziland,0,0,0,0,0
Sweden,0,0,0,0,0
Switzerland,0,0,0,1,0
Syria,2,2,3,3,1
Taiwan,7,93,170,159,65
Thailand,0,26,63,42,13
Tonga,0,0,0,1,1
Trinidad and Tobago,1,1,0,0,0
Tunisia,0,0,0,0,0
Turkey,0,0,0,7,5
U.S. Virgin Islands,0,0,0,0,0
Uganda,0,0,1,9,1
Ukraine,0,0,0,0,0
United Arab Emirates,1,9,6,5,1
United Kingdom,5,34,147,202,147
United States,0,2,27,31,26
Uruguay,0,2,5,5,3
Uzbekistan,0,0,0,0,0
Vatican City,0,0,0,0,0
Venezuela,3,17,41,31,18
Viet Nam,2,3,2,2,0
Western Sahara,0,0,0,0,0
Yemen,0,0,0,0,0
Zambia,0,0,1,0,1
Zimbabwe,0,0,0,0,1
